folder_path,image_id,class,purpose
Flickr-Fire/Flickr-Fire_flame,10010466715.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,10053693525.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10056384055.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10056411806.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10056416296.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,102623808.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10442490704.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10442525035.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10580806505.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10597446265.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,10930175713.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11003925206.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11004054583.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112566995.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112568835.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112572165.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112606144.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112620576.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112622264.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112627664.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112628666.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,11112629426.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112633404.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112728243.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112741063.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,11112763713.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11112769503.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1116167675.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1116171695.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,1116192595.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,1116208159.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,1116215457.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,1116237167.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1116265461.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1116271455.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117006160.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117019264.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117027014.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117036140.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117037950.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117078910.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117086178.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117121244.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117127478.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117130574.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117132734.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117185312.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1117187034.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,1137139125.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1137983396.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1166322674.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,11872842823.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,119012995.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11980917804.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,11982398134.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,1199429918.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12000654273.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,120839925.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,12130020295.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12130087293.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12130361474.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12130394314.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,12130548276.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12130586766.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12159614994.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12159619364.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,12159657704.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12159944696.jpg,fire,val
Flickr-Fire/Flickr-Fire_flame,12159949866.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,12194305515.jpg,fire,train
Flickr-Fire/Flickr-Fire_flame,123371157.jpg,fire,train
