folder_path,image_id,class,purpose
Training/Fire,fire1.jpg,fire,training
Training/Fire,fire10.jpg,fire,test
Training/Fire,fire100.jpg,fire,test
Training/Fire,fire1000.jpg,fire,training
Training/Fire,fire1001.jpg,fire,test
Training/Fire,fire1002.jpg,fire,training
Training/Fire,fire1003.jpg,fire,training
Training/Fire,fire1004.jpg,fire,test
Training/Fire,fire1005.jpg,fire,test
Training/Fire,fire1006.jpg,fire,test
Training/Fire,fire1007.jpg,fire,training
Training/Fire,fire1008.jpg,fire,test
Training/Fire,fire1009.jpg,fire,test
Training/Fire,fire101.jpg,fire,training
Training/Fire,fire1010.jpg,fire,training
Training/Fire,fire1011.jpg,fire,test
Training/Fire,fire1012.jpg,fire,training
Training/Fire,fire1013.jpg,fire,training
Training/Fire,fire1014.jpg,fire,training
Training/Fire,fire1015.jpg,fire,test
Training/Fire,fire1016.jpg,fire,test
Training/Fire,fire1017.jpg,fire,training
Training/Fire,fire1018.jpg,fire,test
Training/Fire,fire1019.jpg,fire,training
Training/Fire,fire102.jpg,fire,training
Training/Fire,fire1020.jpg,fire,training
Training/Fire,fire1021.jpg,fire,training
Training/Fire,fire1022.jpg,fire,training
Training/Fire,fire1023.jpg,fire,training
Training/Fire,fire1024.jpg,fire,training
Training/Fire,fire1025.jpg,fire,test
Training/Fire,fire1026.jpg,fire,training
Training/Fire,fire1027.jpg,fire,training
Training/Fire,fire1028.jpg,fire,training
Training/Fire,fire1029.jpg,fire,test
Training/Fire,fire103.jpg,fire,training
Training/Fire,fire1030.jpg,fire,test
Training/Fire,fire1031.jpg,fire,test
Training/Fire,fire1032.jpg,fire,test
Training/Fire,fire1033.jpg,fire,test
Training/Fire,fire1034.jpg,fire,training
Training/Fire,fire1035.jpg,fire,training
Training/Fire,fire1036.jpg,fire,training
Training/Fire,fire1037.jpg,fire,training
Training/Fire,fire1038.jpg,fire,training
Training/Fire,fire1039.jpg,fire,training
Training/Fire,fire104.jpg,fire,training
Training/Fire,fire1040.jpg,fire,training
