dataset,base_model,ep_best,val_acc,params,size,flops
FiSmo,KutralNet,93,0.8862324953079224,138.914K,0.54MB,76.848M
FiSmoB,KutralNet,84,0.9517766237258912,138.914K,0.54MB,76.848M
FiSmoBA,KutralNet,58,0.9340101480484008,138.914K,0.54MB,76.848M
FiSmo,KutralNet Mobile,95,0.859851598739624,173.090K,0.69MB,43.268M
FiSmoB,KutralNet Mobile,30,0.9467005133628844,173.090K,0.69MB,43.268M
FiSmoBA,KutralNet Mobile,31,0.9390862584114076,173.090K,0.69MB,43.268M
FiSmo,KutralNet Octave,90,0.8755152821540833,125.730K,0.49MB,29.980M
FiSmoB,KutralNet Octave,63,0.9517766237258912,125.730K,0.49MB,29.980M
FiSmoBA,KutralNet Octave,68,0.9263958930969238,125.730K,0.49MB,29.980M
FiSmo,KutralNet Mobile Octave,70,0.8738664388656616,185.250K,0.75MB,24.585M
FiSmoB,KutralNet Mobile Octave,16,0.9365482330322266,185.250K,0.75MB,24.585M
FiSmoBA,KutralNet Mobile Octave,78,0.9390862584114076,185.250K,0.75MB,24.585M
